at least £10000, 317
at least £20000, 315
at least £30000, 309
at least £40000, 309
at least £50000, 301
at least £60000, 282
at least £70000, 242
at least £80000, 201
at least £90000, 162
at least £100000, 125

price_range,number,calculation
£10000-£20000,2,(317-315)
£20000-£30000,6,(315-309)
£30000-£40000,0,(309-309)
£40000-£50000,8,(309-301)
£50000-£60000,19,(301-282)
£60000-£70000,40,(282-242)
£70000-£80000,41,(242-201)
£80000-£90000,39,(201-162)
£90000-£100000,37,(162-125)
£100000+,125,(125)
