scraped_data source of truth.
=====
at least £10000,338
at least £20000,336
at least £30000,330
at least £40000,327
at least £50000,317
at least £60000,299
at least £70000,259
at least £80000,228
at least £90000,190
at least £100000, 148

price_range,number,calculation
=====
£10000-£20000,2,(338-336)
£20000-£30000,6,(336-330)
£30000-£40000,3,(330-327)
£40000-£50000,10,(327-317)
£50000-£60000,18,(317-299)
£60000-£70000,40,(299-259)
£70000-£80000,31,(259-228)
£80000-£90000,38,(228-190)
£90000-£100000,42,(190-148)
£100000+,148,(148)
