at least £10000, 607
at least £20000, 604
at least £30000, 593
at least £40000, 572
at least £50000, 534
at least £60000, 486
at least £70000, 419
at least £80000, 362
at least £90000, 296
at least £100000, 241

price_range,number,calculation
£10000-£20000,3,(607-604)
£20000-£30000,11,(604-593)
£30000-£40000,21,(593-572)
£40000-£50000,38,(572-534)
£50000-£60000,48,(534-486)
£60000-£70000,67,(486-419)
£70000-£80000,57,(419-362)
£80000-£90000,66,(362-296)
£90000-£100000,55,(296-241)
£100000+,241,(241)
