Name,Field,Stars,Forks,Contributors,Open Issues,Open Pull Requests,Date Created,Last Active
huggingface/trl,AI/ML,14768,2068,1,502,1,2020-03-27,2025-07-28
Significant-Gravitas/AutoGPT,AI/ML,177287,45904,1,212,1,2023-03-16,2025-07-28
open-webui/open-webui,AI/ML,104200,14012,1,286,1,2023-10-06,2025-07-28
comfyanonymous/ComfyUI,AI/ML,83714,9284,1,2603,1,2023-01-17,2025-07-28
langchain-ai/langchain,AI/ML,112412,18351,1,277,1,2022-10-17,2025-07-28
huggingface/transformers,AI/ML,147573,29808,1,1897,1,2018-10-29,2025-07-28
ollama/ollama,AI/ML,147790,12552,1,1957,1,2023-06-26,2025-07-27
vllm-project/vllm,AI/ML,53392,8975,1,2694,1,2023-02-09,2025-07-28
n8n-io/n8n,AI/ML,124448,37748,1,983,1,2019-06-22,2025-07-28
iterative/dvc,AI/ML,14705,1240,1,233,1,2017-03-04,2025-07-28
langgenius/dify,AI/ML,108749,16549,1,761,1,2023-04-12,2025-07-28
HumanSignal/label-studio,AI/ML,23920,2949,1,1045,1,2019-06-19,2025-07-28
microsoft/ML-For-Beginners,AI/ML,75759,16746,1,16,1,2021-03-03,2025-07-18
cleanlab/cleanlab,AI/ML,10742,837,1,102,1,2018-05-11,2025-07-11
voxel51/fiftyone,AI/ML,9745,654,1,604,1,2020-04-22,2025-07-28
fastai/fastbook,AI/ML,23466,9039,1,169,1,2020-02-28,2024-08-16
pytorch/pytorch,AI/ML,91835,24787,1,16649,1,2016-08-13,2025-07-28
tensorflow/tensorflow,AI/ML,190933,74769,1,1510,1,2015-11-07,2025-07-28
scikit-learn/scikit-learn,AI/ML,62799,26086,1,2163,1,2010-08-17,2025-07-28
pandas-dev/pandas,AI/ML,46115,18730,1,3750,1,2010-08-24,2025-07-28
nestjs/nest,TypeScript,71980,7959,1,64,1,2017-02-04,2025-07-28
prisma/prisma,TypeScript,42966,1805,1,2334,1,2019-06-20,2025-07-28
adonisjs/core,TypeScript,18068,653,1,3,1,2015-08-15,2025-07-17
typeorm/typeorm,TypeScript,35593,6423,1,2468,1,2016-02-29,2025-07-28
sequelize/sequelize,TypeScript,30098,4297,1,985,1,2010-07-22,2025-07-27
trpc/trpc,TypeScript,38001,1395,1,185,1,2020-07-18,2025-07-22
fastify/fastify,TypeScript,34231,2461,1,117,1,2016-09-28,2025-07-28
taskforcesh/bullmq,TypeScript,7288,486,1,313,1,2018-12-19,2025-07-27
mikro-orm/mikro-orm,TypeScript,8405,584,1,58,1,2018-03-15,2025-07-28
drizzle-team/drizzle-orm,TypeScript,29458,947,1,1657,1,2021-06-24,2025-07-28
kysely-org/kysely,TypeScript,12395,325,1,136,1,2021-02-22,2025-07-26
colinhacks/zod,TypeScript,39247,1549,1,318,1,2020-03-07,2025-07-25
winstonjs/winston,TypeScript,23836,1833,1,514,1,2010-12-29,2025-07-14
pinojs/pino,TypeScript,15840,911,1,143,1,2016-02-16,2025-07-27
helmetjs/helmet,TypeScript,10465,382,1,2,0,2012-02-01,2025-07-22
moleculerjs/moleculer,TypeScript,6301,595,1,71,1,2017-02-17,2025-06-25
typestack/routing-controllers,TypeScript,4479,402,1,91,1,2015-09-30,2025-07-22
lukeautry/tsoa,TypeScript,3841,525,1,142,1,2016-06-17,2025-07-22
tsedio/tsed,TypeScript,2997,294,1,47,1,2016-02-21,2025-07-25
lobehub/lobe-chat,TypeScript,63875,13276,1,946,1,2023-05-21,2025-07-28
vercel/ai,TypeScript,16080,2627,1,643,1,2023-05-23,2025-07-28
dotnet/aspnetcore,C# ASP.NET,36917,10415,1,3803,1,2014-03-11,2025-07-28
aspnetrun/run-aspnetcore-microservices,C# ASP.NET,3052,1650,1,41,1,2019-04-14,2025-07-11
DapperLib/Dapper,C# ASP.NET,17996,3681,1,527,1,2011-04-14,2025-06-01
jasontaylordev/CleanArchitecture,C# ASP.NET,18569,3923,1,23,1,2019-10-07,2025-07-25
dotnet/efcore,C# ASP.NET,14229,3284,1,2435,1,2014-01-23,2025-07-28
App-vNext/Polly,C# ASP.NET,13877,1260,1,12,1,2013-05-05,2025-07-24
dotnet/orleans,C# ASP.NET,10441,2092,1,636,1,2014-12-19,2025-07-24
HangfireIO/Hangfire,C# ASP.NET,9792,1731,1,939,1,2013-08-06,2025-07-25
nopSolutions/nopCommerce,C# ASP.NET,9720,5616,1,163,1,2014-04-09,2025-07-28
ThreeMammals/Ocelot,C# ASP.NET,8587,1666,1,70,1,2016-06-29,2025-07-26
OrchardCMS/OrchardCore,C# ASP.NET,7774,2481,1,940,1,2014-11-19,2025-07-28
dotnetcore/CAP,C# ASP.NET,6930,1315,1,5,1,2016-12-14,2025-07-28
gothinkster/aspnetcore-realworld-example-app,C# ASP.NET,2022,575,1,18,0,2017-05-16,2025-07-08
karpathy/nn-zero-to-hero,Other,15105,2120,1,43,1,2022-09-08,2024-08-18
