Year,Data_Type,Source,Artificial Intelligence,Web Development
2005,market_percentage,ITJobsWatch,0.06444444444444444,4.248888888888889
2006,market_percentage,ITJobsWatch,0.39520541996004516,4.282115869017632
2007,market_percentage,ITJobsWatch,0.15072709903407283,4.4751087994905
2008,market_percentage,ITJobsWatch,0.3862366841788317,4.543472392383246
2009,market_percentage,ITJobsWatch,0.30481609428977846,4.38935175777281
2010,market_percentage,ITJobsWatch,0.2745558363010564,4.629648051250423
2011,market_percentage,ITJobsWatch,0.24554223911137096,4.735457468576439
2012,market_percentage,ITJobsWatch,0.08020164986251146,4.789184234647113
2013,market_percentage,ITJobsWatch,0.05615769079575448,5.192714475580764
2014,market_percentage,ITJobsWatch,0.08995282066344795,5.132818093367356
2015,market_percentage,ITJobsWatch,0.6195295897417425,5.015668335554515
2016,market_percentage,ITJobsWatch,0.7688500830711584,4.906500760012726
2017,market_percentage,ITJobsWatch,1.0220193992816367,4.796029914455762
2018,market_percentage,ITJobsWatch,1.2456546929316339,4.554904232840297
2019,market_percentage,ITJobsWatch,1.4480380340163386,4.493102986473819
2020,market_percentage,ITJobsWatch,1.7552517725246342,4.196482916317097
2021,market_percentage,ITJobsWatch,1.9388118107435077,2.1134504058730315
2022,market_percentage,ITJobsWatch,2.0192705186504276,2.0653798454542565
2023,market_percentage,ITJobsWatch,2.2784493408604,1.7623969850032057
2024,market_percentage,ITJobsWatch,2.4584615384615387,1.5123076923076924
