Technology,Year,Month,Value,Type,URL,Total_Market_Jobs
Web Development,2005,,1912.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2006,,1972.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2007,,2108.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2008,,2188.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2009,,2160.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2010,,2327.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2011,,2430.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2012,,2508.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2013,,2774.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2014,,2796.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2015,,2785.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2016,,2776.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2017,,2764.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2018,,2673.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2019,,2684.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2020,,2551.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2021,,1307.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2022,,1299.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2023,,1127.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2024,,983.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,
Web Development,2005,,4.248888888888889,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,45000.0
Web Development,2006,,4.282115869017632,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,46052.0
Web Development,2007,,4.4751087994905,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,47105.0
Web Development,2008,,4.543472392383246,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,48157.0
Web Development,2009,,4.38935175777281,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,49210.0
Web Development,2010,,4.629648051250423,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,50263.0
Web Development,2011,,4.735457468576439,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,51315.0
Web Development,2012,,4.789184234647113,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,52368.0
Web Development,2013,,5.192714475580764,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,53421.0
Web Development,2014,,5.132818093367356,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,54473.0
Web Development,2015,,5.015668335554515,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,55526.0
Web Development,2016,,4.906500760012726,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,56578.0
Web Development,2017,,4.796029914455762,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,57631.0
Web Development,2018,,4.554904232840297,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,58684.0
Web Development,2019,,4.493102986473819,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,59736.0
Web Development,2020,,4.196482916317097,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,60789.0
Web Development,2021,,2.1134504058730315,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,61842.0
Web Development,2022,,2.0653798454542565,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,62894.0
Web Development,2023,,1.7623969850032057,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,63947.0
Web Development,2024,,1.5123076923076924,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/web%20development.do,65000.0
Artificial Intelligence,2005,,29.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2006,,182.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2007,,71.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2008,,186.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2009,,150.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2010,,138.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2011,,126.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2012,,42.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2013,,30.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2014,,49.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2015,,344.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2016,,435.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2017,,589.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2018,,731.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2019,,865.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2020,,1067.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2021,,1199.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2022,,1270.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2023,,1457.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2024,,1598.0,job_count,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,
Artificial Intelligence,2005,,0.06444444444444444,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,45000.0
Artificial Intelligence,2006,,0.39520541996004516,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,46052.0
Artificial Intelligence,2007,,0.15072709903407283,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,47105.0
Artificial Intelligence,2008,,0.3862366841788317,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,48157.0
Artificial Intelligence,2009,,0.30481609428977846,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,49210.0
Artificial Intelligence,2010,,0.2745558363010564,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,50263.0
Artificial Intelligence,2011,,0.24554223911137096,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,51315.0
Artificial Intelligence,2012,,0.08020164986251146,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,52368.0
Artificial Intelligence,2013,,0.05615769079575448,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,53421.0
Artificial Intelligence,2014,,0.08995282066344795,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,54473.0
Artificial Intelligence,2015,,0.6195295897417425,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,55526.0
Artificial Intelligence,2016,,0.7688500830711584,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,56578.0
Artificial Intelligence,2017,,1.0220193992816367,market_percentage,https://www.itjobswatch.co.uk/jobs/uk/artificial%20intelligence.do,57631.0
