Year,Data_Type,Source,Artificial Intelligence,Web Development
2005,job_count,ITJobsWatch,29.0,1912.0
2006,job_count,ITJobsWatch,182.0,1972.0
2007,job_count,ITJobsWatch,71.0,2108.0
2008,job_count,ITJobsWatch,186.0,2188.0
2009,job_count,ITJobsWatch,150.0,2160.0
2010,job_count,ITJobsWatch,138.0,2327.0
2011,job_count,ITJobsWatch,126.0,2430.0
2012,job_count,ITJobsWatch,42.0,2508.0
2013,job_count,ITJobsWatch,30.0,2774.0
2014,job_count,ITJobsWatch,49.0,2796.0
2015,job_count,ITJobsWatch,344.0,2785.0
2016,job_count,ITJobsWatch,435.0,2776.0
2017,job_count,ITJobsWatch,589.0,2764.0
2018,job_count,ITJobsWatch,731.0,2673.0
2019,job_count,ITJobsWatch,865.0,2684.0
2020,job_count,ITJobsWatch,1067.0,2551.0
2021,job_count,ITJobsWatch,1199.0,1307.0
2022,job_count,ITJobsWatch,1270.0,1299.0
2023,job_count,ITJobsWatch,1457.0,1127.0
2024,job_count,ITJobsWatch,1598.0,983.0
